feature,importance
aspect,122863
dis_from_border,105792
slope,97179
catchment_area,92272
topo,88700
millan_v,75000
longitude,49905
topo_smoothed,46649
latitude,45223
glacier_reference_mb,27745
glacier_aar,26380
glacier_avg_temp,21588
glacier_avg_meltingtemp,21245
glacier_avg_prcpsol,21238
slope_factor,14725
glacier_avg_prcp,13296
glacier_cenlon,12442
glacier_cenlat,11758
