feature,importance
slope,0.3070632717915617
dis_from_border,0.2590106345102677
millan_v,0.12914027476811615
catchment_area,0.12738962420911615
topo_smoothed,0.10258118007428957
longitude,0.08085544707129576
topo,0.06654742877896323
glacier_aar,0.0495084329300394
glacier_cenlon,0.04898668472008527
latitude,0.04867225662213036
glacier_avg_temp,0.030472725233704673
aspect,0.02554101190456569
glacier_reference_mb,0.01898894047941585
glacier_avg_meltingtemp,0.015429379148266656
slope_factor,0.014495281330194426
glacier_avg_prcpsol,0.012026992802394942
glacier_cenlat,0.011655278544617662
glacier_avg_prcp,0.006639284142554047
