,ij_grid,latitude,longitude,thickness,thickness_uncertainty,x_proj,y_proj,i_grid,j_grid,survey_id,date,rgi_id,topo,topo_smoothed,slope,slope_factor,aspect,dis_from_border,catchment_area,lin_mb_above_z,oggm_mb_above_z,consensus_ice_thickness,millan_ice_thickness,millan_v,itslive_v,hugonnet_dhdt,glacier_cenlon,glacier_cenlat,glacier_area_km2,glacier_outline_year,glacier_is_tidewater,glacier_median_elev,glacier_min_elev,glacier_max_elev,glacier_length,glacier_oggm_volume,glacier_reference_mb,glacier_aar,glacier_avg_temp,glacier_avg_prcpsol,glacier_avg_prcp,glacier_avg_meltingtemp
0,0021_0019,43.373388500000004,41.4021065,16.0,0.0,694605.3290269305,4805082.677010387,21,19,157,2011-08-25,RGI60-12.00960,2533.4592,2539.5234,0.3188312,1.9854708,5.1971383,180.0,3197232.0,156686770.0,311581600.0,44.79506,80.92148,5.608154,0.56190157,-1.1927893,41.4156,43.3638,3.354,2000,False,2856.052734375,2490.971435546875,3332.589599609375,3096.0,0.2257557211148395,-865.8000000000001,0.5314054463976834,-5.061128243452655,3342.2631132663305,4695.459683177394,22.39327542388448
1,0021_0020,43.373033,41.40203966666667,12.333333333333334,0.0,694601.0517736607,4805043.038748513,21,20,157,2011-08-25,RGI60-12.00960,2536.5732,2545.5938,0.3339674,1.930979,5.272874,152.73506,3189456.0,163563710.0,325160300.0,41.84841,80.70427,3.6728206,0.11685089,-0.6470552,41.4156,43.3638,3.354,2000,False,2856.052734375,2490.971435546875,3332.589599609375,3096.0,0.2257557211148395,-865.8000000000001,0.5314054463976834,-5.061128243452655,3342.2631132663305,4695.459683177394,22.39327542388448
2,0022_0016,43.37425,41.402324,27.0,1.0,694620.1935988793,4805178.863957302,22,16,157,2011-08-25,RGI60-12.00960,2534.6772,2536.983,0.28785852,2.111021,5.004627,148.43181,3203712.0,150867150.0,300079300.0,44.29328,76.64274,16.742743,1.7325914,-1.4792806,41.4156,43.3638,3.354,2000,False,2856.052734375,2490.971435546875,3332.589599609375,3096.0,0.2257557211148395,-865.8000000000001,0.5314054463976834,-5.061128243452655,3342.2631132663305,4695.459683177394,22.39327542388448
3,0022_0017,43.37402,41.402369,24.8,1.0,694624.5752939653,4805153.4249146,22,17,157,2011-08-25,RGI60-12.00960,2542.7493,2540.8955,0.31822985,1.9877211,5.0861616,183.5647,3195936.0,157845500.0,313871170.0,46.414707,76.79603,14.023746,1.5432044,-1.6137815,41.4156,43.3638,3.354,2000,False,2856.052734375,2490.971435546875,3332.589599609375,3096.0,0.2257557211148395,-865.8000000000001,0.5314054463976834,-5.061128243452655,3342.2631132663305,4695.459683177394,22.39327542388448
4,0022_0018,43.373701,41.40222,19.5,1.0,694613.5245731317,4805117.648569444,22,18,157,2011-08-25,RGI60-12.00960,2543.7324,2545.6433,0.33953795,1.911908,5.1192374,218.97945,3188160.0,164698830.0,327400300.0,46.491585,81.67625,11.010786,1.0359783,-1.7482822,41.4156,43.3638,3.354,2000,False,2856.052734375,2490.971435546875,3332.589599609375,3096.0,0.2257557211148395,-865.8000000000001,0.5314054463976834,-5.061128243452655,3342.2631132663305,4695.459683177394,22.39327542388448
5,0023_0017,43.373944,41.40279066666667,33.0,1.0,694658.9804499393,4805145.96862202,23,17,157,2011-08-25,RGI60-12.00960,2557.1248,2552.4785,0.3417991,1.9043092,5.1196313,180.0,3177792.0,173693810.0,345139520.0,46.11376,73.067406,16.857067,1.531062,-1.8550708,41.4156,43.3638,3.354,2000,False,2856.052734375,2490.971435546875,3332.589599609375,3096.0,0.2257557211148395,-865.8000000000001,0.5314054463976834,-5.061128243452655,3342.2631132663305,4695.459683177394,22.39327542388448
6,0023_0018,43.373805,41.403,36.0,1.0,694676.3847945225,4805131.019846806,23,18,157,2011-08-25,RGI60-12.00960,2559.394,2557.8745,0.3598633,1.8463646,5.132656,216.0,3167424.0,182484660.0,362451300.0,47.306942,78.4313,12.701498,1.1443385,-1.9719778,41.4156,43.3638,3.354,2000,False,2856.052734375,2490.971435546875,3332.589599609375,3096.0,0.2257557211148395,-865.8000000000001,0.5314054463976834,-5.061128243452655,3342.2631132663305,4695.459683177394,22.39327542388448
7,0023_0024,43.37177533333334,41.402729666666666,9.0,0.0,694660.9789055991,4804904.971379165,23,24,157,2011-08-25,RGI60-12.00960,2594.8743,2596.5757,0.31916285,1.9842327,5.317505,80.49844,3105216.0,231072430.0,457625820.0,38.34167,55.73545,19.974205,1.025738,-1.0712738,41.4156,43.3638,3.354,2000,False,2856.052734375,2490.971435546875,3332.589599609375,3096.0,0.2257557211148395,-865.8000000000001,0.5314054463976834,-5.061128243452655,3342.2631132663305,4695.459683177394,22.39327542388448
8,0024_0018,43.37362625,41.4033105,35.5,1.0,694702.1126853959,4805111.892680795,24,18,157,2011-08-25,RGI60-12.00960,2575.248,2570.3757,0.36342648,1.8354818,5.165331,216.0,3147984.0,198442020.0,393814800.0,49.201374,69.53813,12.98928,1.3362279,-2.184703,41.4156,43.3638,3.354,2000,False,2856.052734375,2490.971435546875,3332.589599609375,3096.0,0.2257557211148395,-865.8000000000001,0.5314054463976834,-5.061128243452655,3342.2631132663305,4695.459683177394,22.39327542388448
9,0024_0024,43.371626,41.403112500000006,15.0,0.0,694692.4737948996,4804889.280068774,24,24,157,2011-08-25,RGI60-12.00960,2607.9775,2606.7139,0.31157732,2.0130775,5.1998634,101.82338,3088368.0,243057580.0,480944000.0,44.891857,77.6279,22.960617,2.0230377,-1.6192572,41.4156,43.3638,3.354,2000,False,2856.052734375,2490.971435546875,3332.589599609375,3096.0,0.2257557211148395,-865.8000000000001,0.5314054463976834,-5.061128243452655,3342.2631132663305,4695.459683177394,22.39327542388448
