,ij_grid,latitude,longitude,thickness,thickness_uncertainty,x_proj,y_proj,i_grid,j_grid,survey_id,date,rgi_id,topo,topo_smoothed,slope,slope_factor,aspect,dis_from_border,catchment_area,lin_mb_above_z,oggm_mb_above_z,consensus_ice_thickness,millan_ice_thickness,itslive_v,hugonnet_dhdt,millan_v,glacier_cenlon,glacier_cenlat,glacier_area_km2,glacier_outline_year,glacier_is_tidewater,glacier_median_elev,glacier_min_elev,glacier_max_elev,glacier_length,glacier_oggm_volume,glacier_reference_mb,glacier_aar,glacier_avg_temp,glacier_avg_prcpsol,glacier_avg_prcp,glacier_avg_meltingtemp
10,0032_0053,49.75169545,-117.1502935,40.5,4.0,489173.5332438241,5511034.4996950915,32,53,258,2017-04-16,RGI60-02.00146,2693.8115,2687.4282,0.178956,2.80771,0.81255025,110.788086,76532.0,18796440.0,26040396.0,35.190193,,1.2013026,0.024812086,,-117.151,49.7546,0.375,2004,False,2643.3413,2474.2427,2772.3992,912.0,0.0125394552044249,-269.5,0.5153732922106172,-6.244370453947733,2088.722101684148,2468.04879900583,13.793561902423711
11,0012_0035,49.75169125714286,-117.15005457142857,38.57142857142857,4.0,489190.7436445928,5511033.9991053725,12,35,258,2017-04-16,RGI60-02.00147,2688.876,2683.9514,0.19098379,2.7002382,0.9371884,147.87157,381814.0,151680740.0,203097090.0,25.155907,,1.132539,0.03977134,,-117.137,49.749,1.801,2004,False,2600.133,2230.4207,2795.0933,1740.0,0.0715285295675957,-653.3,0.2823104246029892,-5.862922004498186,1946.540089214738,2343.31171392248,15.243288268728795
12,0013_0035,49.751644575,-117.149641,34.25,3.75,489220.5251157196,5511028.749531501,13,35,258,2017-04-16,RGI60-02.00147,2678.1375,2678.739,0.21529752,2.512908,1.0751472,145.0,420500.0,163296750.0,219220770.0,38.27334,,1.0132661,-0.033749733,,-117.137,49.749,1.801,2004,False,2600.133,2230.4207,2795.0933,1740.0,0.0715285295675957,-653.3,0.2823104246029892,-5.862922004498186,1946.540089214738,2343.31171392248,15.243288268728795
13,0014_0035,49.75154995,-117.14921933333333,26.666666666666668,2.8333333333333335,489250.8791933453,5511018.16868408,14,35,258,2017-04-16,RGI60-02.00147,2669.949,2672.794,0.22444987,2.4509158,1.1195011,145.0,467596.0,176640060.0,237853280.0,41.606625,2.494505,0.8925091,-0.15107888,,-117.137,49.749,1.801,2004,False,2600.133,2230.4207,2795.0933,1740.0,0.0715285295675957,-653.3,0.2823104246029892,-5.862922004498186,1946.540089214738,2343.31171392248,15.243288268728795
14,0015_0036,49.7514308875,-117.14882475,20.5,2.0,489279.2770316606,5511004.874922653,15,36,258,2017-04-16,RGI60-02.00147,2666.3716,2669.8354,0.21820197,2.492785,1.0860584,116.0,489462.0,182529170.0,246119540.0,42.13297,,0.8108271,-0.26057753,,-117.137,49.749,1.801,2004,False,2600.133,2230.4207,2795.0933,1740.0,0.0715285295675957,-653.3,0.2823104246029892,-5.862922004498186,1946.540089214738,2343.31171392248,15.243288268728795
15,0015_0045,49.749032975,-117.14865075,30.5,3.0,489291.28335026663,5510738.250899595,15,45,258,2017-04-16,RGI60-02.00147,2678.5916,2685.0134,0.16788518,2.9173772,0.71868277,58.0,374245.0,149341150.0,199859330.0,33.340355,,1.0701418,-0.5212218,,-117.137,49.749,1.801,2004,False,2600.133,2230.4207,2795.0933,1740.0,0.0715285295675957,-653.3,0.2823104246029892,-5.862922004498186,1946.540089214738,2343.31171392248,15.243288268728795
16,0015_0046,49.7488599,-117.148626,32.0,3.0,489293.028230898,5510719.004947654,15,46,258,2017-04-16,RGI60-02.00147,2683.8757,2689.2512,0.19225658,2.6894982,0.6083292,58.0,345651.0,140224640.0,187283260.0,33.657616,,1.1394529,-0.4028498,,-117.137,49.749,1.801,2004,False,2600.133,2230.4207,2795.0933,1740.0,0.0715285295675957,-653.3,0.2823104246029892,-5.862922004498186,1946.540089214738,2343.31171392248,15.243288268728795
17,0016_0036,49.7512976,-117.148431,14.714285714285714,1.5714285714285714,489307.61184924684,5510989.999895745,16,36,258,2017-04-16,RGI60-02.00147,2661.395,2664.3923,0.20447902,2.5918553,1.0304778,119.57006,528989.0,192703220.0,260467420.0,45.10173,,0.7203903,-0.33530957,,-117.137,49.749,1.801,2004,False,2600.133,2230.4207,2795.0933,1740.0,0.0715285295675957,-653.3,0.2823104246029892,-5.862922004498186,1946.540089214738,2343.31171392248,15.243288268728795
18,0016_0037,49.75122585,-117.14826550000001,14.0,2.0,489319.51805720653,5510981.999187412,16,37,258,2017-04-16,RGI60-02.00147,2666.915,2667.4646,0.19825763,2.6403534,1.0530744,91.706055,507964.0,187370700.0,252936050.0,44.093613,,0.7546289,-0.40962973,,-117.137,49.749,1.801,2004,False,2600.133,2230.4207,2795.0933,1740.0,0.0715285295675957,-653.3,0.2823104246029892,-5.862922004498186,1946.540089214738,2343.31171392248,15.243288268728795
19,0016_0042,49.7497823,-117.14825375,31.75,3.25,489320.0475215968,5510821.5040579345,16,42,258,2017-04-16,RGI60-02.00147,2669.995,2675.2573,0.11901949,3.5861557,1.2200675,29.0,449094.0,171495630.0,230655940.0,34.862133,,0.94576615,-0.85032964,,-117.137,49.749,1.801,2004,False,2600.133,2230.4207,2795.0933,1740.0,0.0715285295675957,-653.3,0.2823104246029892,-5.862922004498186,1946.540089214738,2343.31171392248,15.243288268728795
20,0016_0043,49.7495377,-117.14842433333332,33.666666666666664,3.5,489307.70521684183,5510794.333790018,16,43,258,2017-04-16,RGI60-02.00147,2671.9822,2676.736,0.1134138,3.6914794,0.9436303,41.01219,436479.0,167921390.0,225664860.0,37.0266,,0.98515683,-0.91060543,,-117.137,49.749,1.801,2004,False,2600.133,2230.4207,2795.0933,1740.0,0.0715285295675957,-653.3,0.2823104246029892,-5.862922004498186,1946.540089214738,2343.31171392248,15.243288268728795
