,ij_grid,latitude,longitude,thickness,thickness_uncertainty,x_proj,y_proj,i_grid,j_grid,survey_id,date,rgi_id,topo,topo_smoothed,slope,slope_factor,aspect,dis_from_border,catchment_area,lin_mb_above_z,oggm_mb_above_z,consensus_ice_thickness,millan_ice_thickness,millan_v,itslive_v,hugonnet_dhdt,glacier_cenlon,glacier_cenlat,glacier_area_km2,glacier_outline_year,glacier_is_tidewater,glacier_median_elev,glacier_min_elev,glacier_max_elev,glacier_length,glacier_oggm_volume,glacier_reference_mb,glacier_aar,glacier_avg_temp,glacier_avg_prcpsol,glacier_avg_prcp,glacier_avg_meltingtemp
0,0012_0027,41.8361033,78.1670382,13.666666666666666,0.0,264769.02454796014,4635459.81326246,12,27,170,2013-05-20,RGI60-13.08055,3941.5737,3951.9949,0.2742721,2.1731565,0.6222713,0.0,2763996.0,172214420.0,236135700.0,26.717539,53.124825,3.8358767,0.9379462,-0.9615103,78.181348805,41.826979308,2.925,2002,False,4264.2363,3858.859,4736.0605,3740.0,0.1797032294674104,-409.6,0.423593194379025,-9.42499683008718,1156.404797017416,1748.7542219847558,9.681235555829687
1,0013_0019,41.838423750000004,78.16723525,4.5,0.0,264793.89205495,4635716.937929354,13,19,170,2013-05-20,RGI60-13.08055,3887.12,3888.778,0.22174731,2.4687948,0.27826247,96.16652,2857632.0,79426664.0,110534330.0,53.544174,106.484955,5.2860026,0.7240363,-2.3077219,78.181348805,41.826979308,2.925,2002,False,4264.2363,3858.859,4736.0605,3740.0,0.1797032294674104,-409.6,0.423593194379025,-9.42499683008718,1156.404797017416,1748.7542219847558,9.681235555829687
2,0013_0020,41.838219333333335,78.1673476,5.333333333333333,0.0,264802.4722377956,4635693.931410228,13,20,170,2013-05-20,RGI60-13.08055,3894.451,3896.4128,0.23127049,2.407287,0.26670134,76.02631,2846072.0,91907340.0,127715544.0,52.325184,114.90052,6.698673,0.8703899,-2.3665097,78.181348805,41.826979308,2.925,2002,False,4264.2363,3858.859,4736.0605,3740.0,0.1797032294674104,-409.6,0.423593194379025,-9.42499683008718,1156.404797017416,1748.7542219847558,9.681235555829687
3,0013_0021,41.837993,78.1674889,6.0,0.0,264813.376125203,4635668.411919935,13,21,170,2013-05-20,RGI60-13.08055,3900.6995,3904.2249,0.23156679,2.4054384,0.24878237,68.0,2835668.0,102875544.0,142743630.0,51.35805,122.38589,8.057052,1.0077018,-2.2164478,78.181348805,41.826979308,2.925,2002,False,4264.2363,3858.859,4736.0605,3740.0,0.1797032294674104,-409.6,0.423593194379025,-9.42499683008718,1156.404797017416,1748.7542219847558,9.681235555829687
4,0013_0026,41.836538166666664,78.16744173333333,13.666666666666666,0.0,264804.12801464606,4635506.995253923,13,26,170,2013-05-20,RGI60-13.08055,3935.318,3940.8665,0.21322125,2.5275614,0.26173037,48.08326,2784804.0,153107500.0,210669180.0,41.567955,85.62196,5.7661552,0.97189283,-1.38368,78.181348805,41.826979308,2.925,2002,False,4264.2363,3858.859,4736.0605,3740.0,0.1797032294674104,-409.6,0.423593194379025,-9.42499683008718,1156.404797017416,1748.7542219847558,9.681235555829687
5,0013_0027,41.8360653,78.16744955,18.5,0.0,264803.04426428536,4635454.466318378,13,27,170,2013-05-20,RGI60-13.08055,3939.8044,3948.034,0.22087637,2.474631,0.30468956,34.0,2772088.0,164872050.0,226371380.0,40.129272,82.09595,5.120021,0.89417464,-1.3921356,78.181348805,41.826979308,2.925,2002,False,4264.2363,3858.859,4736.0605,3740.0,0.1797032294674104,-409.6,0.423593194379025,-9.42499683008718,1156.404797017416,1748.7542219847558,9.681235555829687
6,0014_0021,41.83791706666667,78.16778721666667,7.5,0.0,264837.86971164396,4635659.162727728,14,21,170,2013-05-20,RGI60-13.08055,3903.3918,3902.9666,0.23753247,2.3690064,0.09737703,102.0,2837980.0,100455096.0,139431820.0,61.29536,129.97234,8.626525,1.0944929,-2.4910963,78.181348805,41.826979308,2.925,2002,False,4264.2363,3858.859,4736.0605,3740.0,0.1797032294674104,-409.6,0.423593194379025,-9.42499683008718,1156.404797017416,1748.7542219847558,9.681235555829687
7,0014_0022,41.8377427,78.1679085,5.0,0.0,264847.3020365563,4635639.468566619,14,22,170,2013-05-20,RGI60-13.08055,3911.75,3911.1501,0.23225614,2.4011521,0.023818756,102.0,2828732.0,110056980.0,152547310.0,59.68426,135.75507,10.229643,1.1827062,-2.3050575,78.181348805,41.826979308,2.925,2002,False,4264.2363,3858.859,4736.0605,3740.0,0.1797032294674104,-409.6,0.423593194379025,-9.42499683008718,1156.404797017416,1748.7542219847558,9.681235555829687
8,0014_0025,41.83670138,78.16786846,15.4,0.0,264840.1616489183,4635523.949232992,14,25,170,2013-05-20,RGI60-13.08055,3930.902,3933.686,0.20536904,2.58511,6.155136,96.16652,2797520.0,141055780.0,194508300.0,54.0017,110.314804,5.689349,0.9855754,-1.74504,78.181348805,41.826979308,2.925,2002,False,4264.2363,3858.859,4736.0605,3740.0,0.1797032294674104,-409.6,0.423593194379025,-9.42499683008718,1156.404797017416,1748.7542219847558,9.681235555829687
9,0014_0027,41.836065125000005,78.1678428,22.5,0.0,264835.69956809364,4635453.369262395,14,27,170,2013-05-20,RGI60-13.08055,3942.9944,3947.4143,0.19926018,2.6323745,6.1886916,68.0,2774400.0,162756900.0,223554180.0,52.054916,112.355125,6.116271,0.8508297,-1.585181,78.181348805,41.826979308,2.925,2002,False,4264.2363,3858.859,4736.0605,3740.0,0.1797032294674104,-409.6,0.423593194379025,-9.42499683008718,1156.404797017416,1748.7542219847558,9.681235555829687
