,ij_grid,latitude,longitude,thickness,thickness_uncertainty,x_proj,y_proj,i_grid,j_grid,survey_id,date,rgi_id,topo,topo_smoothed,slope,slope_factor,aspect,dis_from_border,catchment_area,lin_mb_above_z,oggm_mb_above_z,consensus_ice_thickness,millan_ice_thickness,millan_v,itslive_v,hugonnet_dhdt,glacier_cenlon,glacier_cenlat,glacier_area_km2,glacier_outline_year,glacier_is_tidewater,glacier_median_elev,glacier_min_elev,glacier_max_elev,glacier_length,glacier_oggm_volume,glacier_reference_mb,glacier_aar,glacier_avg_temp,glacier_avg_prcpsol,glacier_avg_prcp,glacier_avg_meltingtemp
0,0016_0018,29.764417,95.71155,49.0,17.0,762188.2046242091,3295762.6992420577,16,18,257,2019-10-13,RGI60-15.11758,3926.5806,3931.7876,0.30788255,2.0275378,5.3550134,90.0,6012225.0,160997440.0,326711420.0,36.089573,110.397705,15.167025,5.6085362,-0.92413706,95.73,29.756,6.083,2005,False,4664.6523,3864.274,5621.62,3780.0,0.2387146892431877,-199.7,0.5049046691416684,-3.8804906052590096,1992.1158807597349,3680.253132425591,15.779042707228664
1,0016_0019,29.764289,95.711482,48.0,17.0,762181.96063333,3295748.353548673,16,19,257,2019-10-13,RGI60-15.11758,3941.793,3941.0032,0.31136686,2.0138938,5.3949623,45.0,6006150.0,174594610.0,354110880.0,30.820538,78.485825,17.005066,5.521879,-0.5367307,95.73,29.756,6.083,2005,False,4664.6523,3864.274,5621.62,3780.0,0.2387146892431877,-199.7,0.5049046691416684,-3.8804906052590096,1992.1158807597349,3680.253132425591,15.779042707228664
2,0017_0016,29.765326,95.712038,39.0,17.0,762233.0389147478,3295864.5878086155,17,16,257,2019-10-13,RGI60-15.11758,3928.282,3930.712,0.29106146,2.0970519,4.995822,63.63961,6014250.0,156436430.0,317512320.0,36.198563,127.298615,12.123439,6.185276,-0.85562676,95.73,29.756,6.083,2005,False,4664.6523,3864.274,5621.62,3780.0,0.2387146892431877,-199.7,0.5049046691416684,-3.8804906052590096,1992.1158807597349,3680.253132425591,15.779042707228664
3,0017_0017,29.76499125,95.71185825,43.5,17.0,762216.5245547283,3295827.0660256073,17,17,257,2019-10-13,RGI60-15.11758,3932.038,3935.9116,0.2965196,2.073805,5.1880207,100.62306,6010200.0,165551920.0,335895520.0,39.44951,150.68335,14.495181,6.302295,-1.0718446,95.73,29.756,6.083,2005,False,4664.6523,3864.274,5621.62,3780.0,0.2387146892431877,-199.7,0.5049046691416684,-3.8804906052590096,1992.1158807597349,3680.253132425591,15.779042707228664
4,0017_0018,29.764590499999997,95.71164350000001,50.5,17.0,762196.7965979768,3295782.1474100444,17,18,257,2019-10-13,RGI60-15.11758,3941.586,3943.303,0.3039657,2.0431736,5.325643,100.62306,6002100.0,183584290.0,372206180.0,39.31019,136.75497,16.74108,6.4182186,-1.0634228,95.73,29.756,6.083,2005,False,4664.6523,3864.274,5621.62,3780.0,0.2387146892431877,-199.7,0.5049046691416684,-3.8804906052590096,1992.1158807597349,3680.253132425591,15.779042707228664
5,0018_0015,29.765812,95.71229866666665,44.666666666666664,17.0,762256.985721757,3295919.062432997,18,15,257,2019-10-13,RGI60-15.11758,3934.1958,3942.1853,0.30001497,2.0592744,4.716072,0.0,6004125.0,179092960.0,363166720.0,28.777447,79.638855,9.494685,5.3695436,-0.6582516,95.73,29.756,6.083,2005,False,4664.6523,3864.274,5621.62,3780.0,0.2387146892431877,-199.7,0.5049046691416684,-3.8804906052590096,1992.1158807597349,3680.253132425591,15.779042707228664
6,0018_0016,29.765515999999998,95.71214,43.5,17.0,762242.4098897458,3295885.8846758446,18,16,257,2019-10-13,RGI60-15.11758,3939.8474,3943.8513,0.294733,2.0813386,4.9379873,45.0,6000075.0,188068900.0,381230180.0,36.50887,133.25613,14.071388,6.436582,-1.0168746,95.73,29.756,6.083,2005,False,4664.6523,3864.274,5621.62,3780.0,0.2387146892431877,-199.7,0.5049046691416684,-3.8804906052590096,1992.1158807597349,3680.253132425591,15.779042707228664
7,0024_0025,29.761838,95.715173,69.0,17.0,762545.3890083451,3295485.016773649,24,25,257,2019-10-13,RGI60-15.11758,4061.459,4054.4153,0.20671007,2.5750344,4.9969025,45.0,5840100.0,511917220.0,1024781900.0,46.979446,84.21183,9.044551,3.9360578,-0.3607272,95.73,29.756,6.083,2005,False,4664.6523,3864.274,5621.62,3780.0,0.2387146892431877,-199.7,0.5049046691416684,-3.8804906052590096,1992.1158807597349,3680.253132425591,15.779042707228664
8,0025_0023,29.762409499999997,95.71560099999999,82.5,17.0,762585.2987122951,3295549.3523879773,25,23,257,2019-10-13,RGI60-15.11758,4056.0254,4051.6306,0.18786085,2.7270823,5.4314165,127.27922,5846175.0,500448450.0,1002215000.0,73.82133,163.60767,7.7847147,6.4248934,-0.48217544,95.73,29.756,6.083,2005,False,4664.6523,3864.274,5621.62,3780.0,0.2387146892431877,-199.7,0.5049046691416684,-3.8804906052590096,1992.1158807597349,3680.253132425591,15.779042707228664
9,0025_0024,29.7620665,95.7153445,76.5,17.0,762561.3822267271,3295510.740595105,25,24,257,2019-10-13,RGI60-15.11758,4057.6077,4057.4346,0.18393773,2.7618337,5.4276295,100.62306,5832000.0,527135550.0,1054708540.0,68.29656,149.37218,7.9559565,5.5360193,-0.45544443,95.73,29.756,6.083,2005,False,4664.6523,3864.274,5621.62,3780.0,0.2387146892431877,-199.7,0.5049046691416684,-3.8804906052590096,1992.1158807597349,3680.253132425591,15.779042707228664
