,ij_grid,latitude,longitude,thickness,thickness_uncertainty,x_proj,y_proj,i_grid,j_grid,survey_id,date,rgi_id,topo,topo_smoothed,slope,slope_factor,aspect,dis_from_border,catchment_area,lin_mb_above_z,oggm_mb_above_z,consensus_ice_thickness,millan_ice_thickness,millan_v,itslive_v,hugonnet_dhdt,glacier_cenlon,glacier_cenlat,glacier_area_km2,glacier_outline_year,glacier_is_tidewater,glacier_median_elev,glacier_min_elev,glacier_max_elev,glacier_length,glacier_oggm_volume,glacier_reference_mb,glacier_aar,glacier_avg_temp,glacier_avg_prcpsol,glacier_avg_prcp,glacier_avg_meltingtemp
0,0022_0036,-44.07027445,169.430155,61.0,,374287.1879488835,5119123.869914924,22,36,159,1997-01-01,RGI60-18.01130,1915.4116,1917.1096,0.2098186,2.552076,1.7461985,165.0,1326402.0,458881000.0,1169580800.0,70.90696,90.34213,3.1448283,0.6649228,-0.8682477,169.437,-44.0715,2.673,1978,False,1914.3014,1642.79,2446.563,2442.0,0.1562758336289867,-713.6,0.282609188177618,-2.1517251869717744,2736.489389557737,3841.030526814337,15.915117084644235
1,0022_0037,-44.07032675,169.42992792500002,51.125,,374269.11443116976,5119117.714268671,22,37,159,1997-01-01,RGI60-18.01130,1912.9818,1915.8193,0.21168506,2.5385509,1.7803953,165.0,1337292.0,457968640.0,1167885700.0,69.51259,83.48273,2.2604997,0.6622709,-0.88099164,169.437,-44.0715,2.673,1978,False,1914.3014,1642.79,2446.563,2442.0,0.1562758336289867,-713.6,0.282609188177618,-2.1517251869717744,2736.489389557737,3841.030526814337,15.915117084644235
2,0023_0036,-44.07022625,169.43040151666665,66.5,,374306.8270805744,5119129.599788573,23,36,159,1997-01-01,RGI60-18.01130,1910.4093,1910.6558,0.18542536,2.7485175,1.7633479,198.0,1392831.0,452798600.0,1157897500.0,76.117004,99.452484,4.547859,0.7059247,-0.91178,169.437,-44.0715,2.673,1978,False,1914.3014,1642.79,2446.563,2442.0,0.1562758336289867,-713.6,0.282609188177618,-2.1517251869717744,2736.489389557737,3841.030526814337,15.915117084644235
3,0023_0054,-44.07543016666667,169.43024242222222,21.444444444444443,,374305.10441848316,5118551.354629545,23,54,159,1997-01-01,RGI60-18.01130,1837.3671,1836.9155,0.22865595,2.423765,2.6780624,46.66905,2079990.0,317845250.0,845205440.0,43.660473,43.281982,0.86219525,0.3504017,-0.32202056,169.437,-44.0715,2.673,1978,False,1914.3014,1642.79,2446.563,2442.0,0.1562758336289867,-713.6,0.282609188177618,-2.1517251869717744,2736.489389557737,3841.030526814337,15.915117084644235
4,0024_0036,-44.07013443333333,169.43079509999998,71.22222222222223,,374338.15112045023,5119140.398543864,24,36,159,1997-01-01,RGI60-18.01130,1905.155,1904.9581,0.1648152,2.9498615,1.7683837,231.0,1453815.0,446123800.0,1144318200.0,81.336365,114.06343,7.686056,0.7469266,-0.9167885,169.437,-44.0715,2.673,1978,False,1914.3014,1642.79,2446.563,2442.0,0.1562758336289867,-713.6,0.282609188177618,-2.1517251869717744,2736.489389557737,3841.030526814337,15.915117084644235
5,0024_0053,-44.07534135,169.43081310000002,22.5,,374350.6125924762,5118562.090491474,24,53,159,1997-01-01,RGI60-18.01130,1842.0665,1839.672,0.23341018,2.394022,2.575367,93.3381,2062566.0,323385860.0,858938430.0,52.316208,61.11396,0.9749387,0.2820565,-0.45426947,169.437,-44.0715,2.673,1978,False,1914.3014,1642.79,2446.563,2442.0,0.1562758336289867,-713.6,0.282609188177618,-2.1517251869717744,2736.489389557737,3841.030526814337,15.915117084644235
6,0024_0054,-44.07537782,169.43061498,23.2,,374334.82561079424,5118557.737420024,24,54,159,1997-01-01,RGI60-18.01130,1838.0867,1832.864,0.24615134,2.3188822,2.5898976,73.790245,2099592.0,311411170.0,829189440.0,48.47866,57.095364,0.9693569,0.28545544,-0.45883688,169.437,-44.0715,2.673,1978,False,1914.3014,1642.79,2446.563,2442.0,0.1562758336289867,-713.6,0.282609188177618,-2.1517251869717744,2736.489389557737,3841.030526814337,15.915117084644235
7,0024_0061,-44.07763526,169.43070502,12.0,,374346.8137800328,5118307.139380695,24,61,159,1997-01-01,RGI60-18.01130,1775.2161,1778.6814,0.18027985,2.795321,2.8887084,33.0,2351151.0,207712020.0,563484300.0,40.792088,45.882694,1.7483964,0.16630545,-0.4489117,169.437,-44.0715,2.673,1978,False,1914.3014,1642.79,2446.563,2442.0,0.1562758336289867,-713.6,0.282609188177618,-2.1517251869717744,2736.489389557737,3841.030526814337,15.915117084644235
8,0025_0036,-44.07005718888889,169.43124606666666,74.33333333333333,,374374.10138519,5119149.666141608,25,36,159,1997-01-01,RGI60-18.01130,1900.0638,1899.892,0.14549348,3.1790245,1.7677141,264.0,1513710.0,438564400.0,1128344300.0,86.62012,118.40145,8.3395815,0.78792846,-0.921797,169.437,-44.0715,2.673,1978,False,1914.3014,1642.79,2446.563,2442.0,0.1562758336289867,-713.6,0.282609188177618,-2.1517251869717744,2736.489389557737,3841.030526814337,15.915117084644235
9,0025_0053,-44.07528348571429,169.43108827142856,21.714285714285715,,374372.5241142179,5118568.937345706,25,53,159,1997-01-01,RGI60-18.01130,1837.4198,1835.1284,0.24002719,2.354202,2.548193,118.98319,2087613.0,315371360.0,839056800.0,55.481667,70.73233,1.31048,0.21818009,-0.5592832,169.437,-44.0715,2.673,1978,False,1914.3014,1642.79,2446.563,2442.0,0.1562758336289867,-713.6,0.282609188177618,-2.1517251869717744,2736.489389557737,3841.030526814337,15.915117084644235
