Unnamed: 0,ij_grid,latitude,longitude,thickness,thickness_uncertainty,x_proj,y_proj,i_grid,j_grid,survey_id,date,rgi_id,topo,topo_smoothed,slope,slope_factor,aspect,dis_from_border,catchment_area,lin_mb_above_z,oggm_mb_above_z,consensus_ice_thickness,millan_ice_thickness,millan_v,itslive_v,hugonnet_dhdt,glacier_cenlon,glacier_cenlat,glacier_area_km2,glacier_outline_year,glacier_is_tidewater,glacier_median_elev,glacier_min_elev,glacier_max_elev,glacier_length,glacier_oggm_volume,glacier_reference_mb,glacier_aar,glacier_avg_temp,glacier_avg_prcpsol,glacier_avg_prcp,glacier_avg_meltingtemp,RGI
653,0129_0060,61.336529,-148.133316,403.0,35.0,439355.3372007302,6800798.719412413,129,60,250,2012-03-16,RGI60-01.10196,1201.1903,1202.5277,0.10181372,3.8724234,6.0470963,600.0,289440000.0,446777300000.0,760235560000.0,291.88693,325.50598,1100.0599,1311.4326,-0.74926364,-148.139,61.338,427.281,2009,False,1723.4355,39.96003,3521.4646,48000.0,127.297364375158,-597.4000000000001,0.63110919983209,-7.016374310238668,3174.7130283481893,4030.7585596607546,16.643425838584655,RGI01
658,0130_0060,61.335646125,-148.1322975,428.25,35.0,439408.12917615415,6800699.440785474,130,60,250,2012-03-16,RGI60-01.10196,1209.2612,1209.0365,0.08796008,3.8724234,5.9051003,800.0,289160000.0,447060100000.0,760508650000.0,318.2476,340.12723,1155.9769,1276.4674,-0.8803925,-148.139,61.338,427.281,2009,False,1723.4355,39.96003,3521.4646,48000.0,127.297364375158,-597.4000000000001,0.63110919983209,-7.016374310238668,3174.7130283481893,4030.7585596607546,16.643425838584655,RGI01
659,0130_0061,61.33398444444444,-148.13035244444444,452.0,35.0,439509.0022969354,6800512.562091342,130,61,250,2012-03-16,RGI60-01.10196,1225.6285,1225.4586,0.080010064,3.8724234,6.0602875,800.0,288280000.0,447916570000.0,761302500000.0,324.9908,354.56686,1053.679,1241.3491,-0.8478177,-148.139,61.338,427.281,2009,False,1723.4355,39.96003,3521.4646,48000.0,127.297364375158,-597.4000000000001,0.63110919983209,-7.016374310238668,3174.7130283481893,4030.7585596607546,16.643425838584655,RGI01
717,0141_0082,61.296544,-148.08795825,562.0,35.0,441708.1106153842,6796303.946671922,141,82,250,2012-03-16,RGI60-01.10196,1473.8401,1472.0409,0.057783965,3.8724234,0.05834257,1811.077,260840000.0,461889270000.0,761763400000.0,436.8048,412.70193,429.5277,526.8992,-0.45272714,-148.139,61.338,427.281,2009,False,1723.4355,39.96003,3521.4646,48000.0,127.297364375158,-597.4000000000001,0.63110919983209,-7.016374310238668,3174.7130283481893,4030.7585596607546,16.643425838584655,RGI01
754,0153_0034,61.38231083333333,-148.04698183333332,195.5,35.0,444056.6472418535,6805820.788518317,153,34,250,2012-03-20,RGI60-01.10196,1714.649,1710.6731,0.14750609,3.1529279,5.093364,447.2136,217320000.0,454362330000.0,713918250000.0,191.46143,233.05315,1083.2886,1379.6755,-0.36970568,-148.139,61.338,427.281,2009,False,1723.4355,39.96003,3521.4646,48000.0,127.297364375158,-597.4000000000001,0.63110919983209,-7.016374310238668,3174.7130283481893,4030.7585596607546,16.643425838584655,RGI01
755,0153_0035,61.382107,-148.045395,191.0,35.0,444141.0675738886,6805796.72601184,153,35,250,2012-03-20,RGI60-01.10196,1719.2217,1721.6934,0.18576856,2.7454698,5.302729,282.8427,214600000.0,452940630000.0,709572170000.0,167.27797,220.22328,872.10913,1141.3542,-0.40889695,-148.139,61.338,427.281,2009,False,1723.4355,39.96003,3521.4646,48000.0,127.297364375158,-597.4000000000001,0.63110919983209,-7.016374310238668,3174.7130283481893,4030.7585596607546,16.643425838584655,RGI01
756,0154_0035,61.38181911111111,-148.04314,178.0,35.0,444261.0402889573,6805762.733357903,154,35,250,2012-03-20,RGI60-01.10196,1751.3256,1749.6168,0.1517478,3.0997493,5.4990363,447.2136,208560000.0,449423770000.0,699412600000.0,201.96753,241.96326,1136.1404,1376.1327,-0.39573318,-148.139,61.338,427.281,2009,False,1723.4355,39.96003,3521.4646,48000.0,127.297364375158,-597.4000000000001,0.63110919983209,-7.016374310238668,3174.7130283481893,4030.7585596607546,16.643425838584655,RGI01
757,0155_0035,61.381352125,-148.039285625,189.5,35.0,444466.1536790811,6805707.4342460325,155,35,250,2012-03-20,RGI60-01.10196,1766.1813,1764.8926,0.13752814,3.2882519,5.8292255,565.6854,205160000.0,447222000000.0,693377400000.0,223.05762,257.16074,1304.2526,1464.7002,-0.4855557,-148.139,61.338,427.281,2009,False,1723.4355,39.96003,3521.4646,48000.0,127.297364375158,-597.4000000000001,0.63110919983209,-7.016374310238668,3174.7130283481893,4030.7585596607546,16.643425838584655,RGI01
758,0156_0035,61.38092575,-148.035652125,239.875,35.0,444659.5433426864,6805656.857917758,156,35,250,2012-03-20,RGI60-01.10196,1773.4263,1773.894,0.14368343,3.202993,5.914477,721.1102,203400000.0,446020800000.0,690164500000.0,224.55959,259.82538,1353.8783,1491.9211,-0.51514775,-148.139,61.338,427.281,2009,False,1723.4355,39.96003,3521.4646,48000.0,127.297364375158,-597.4000000000001,0.63110919983209,-7.016374310238668,3174.7130283481893,4030.7585596607546,16.643425838584655,RGI01
759,0157_0035,61.38058959999999,-148.0326966,298.6,35.0,444816.8710748403,6805616.914460162,157,35,250,2012-03-20,RGI60-01.10196,1782.6934,1785.7504,0.14879563,3.1365042,5.691474,848.52814,200920000.0,444250600000.0,685524840000.0,209.38486,255.0153,1391.4705,1513.0046,-0.444415,-148.139,61.338,427.281,2009,False,1723.4355,39.96003,3521.4646,48000.0,127.297364375158,-597.4000000000001,0.63110919983209,-7.016374310238668,3174.7130283481893,4030.7585596607546,16.643425838584655,RGI01
